"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 08 13:31:57 UTC 2025","Fri Aug 08 13:31:58 UTC 2025","765","","com.projects.tests.LoginTest","","com.projects.tests.LoginTest","testEmptyCredentials","testEmptyCredentials()","Test empty username and password shows error"
"passed","Fri Aug 08 13:31:53 UTC 2025","Fri Aug 08 13:31:54 UTC 2025","1214","","com.projects.tests.CheckoutTest","","com.projects.tests.CheckoutTest","testSuccessfulCheckout","testSuccessfulCheckout()","User should be able to checkout with valid data"
"failed","Fri Aug 08 13:31:17 UTC 2025","Fri Aug 08 13:31:28 UTC 2025","11240","","com.projects.tests.CheckoutTest","","com.projects.tests.CheckoutTest","testCheckoutMissingPostalCode","testCheckoutMissingPostalCode()","User should see error when postal code is missing"
"passed","Fri Aug 08 13:31:56 UTC 2025","Fri Aug 08 13:31:57 UTC 2025","888","","com.projects.tests.LoginTest","","com.projects.tests.LoginTest","testInvalidPassword","testInvalidPassword()","Test invalid password shows error message"
"failed","Fri Aug 08 13:31:05 UTC 2025","Fri Aug 08 13:31:17 UTC 2025","11301","","com.projects.tests.CheckoutTest","","com.projects.tests.CheckoutTest","testCheckoutMissingLastName","testCheckoutMissingLastName()","User should see error when last name is missing"
"passed","Fri Aug 08 13:31:28 UTC 2025","Fri Aug 08 13:31:29 UTC 2025","1232","","com.projects.tests.CheckoutTest","","com.projects.tests.CheckoutTest","testCheckoutWithSpecialCharacters","testCheckoutWithSpecialCharacters()","User should be able to checkout with special characters in names"
"failed","Fri Aug 08 13:31:29 UTC 2025","Fri Aug 08 13:31:41 UTC 2025","11247","","com.projects.tests.CheckoutTest","","com.projects.tests.CheckoutTest","testCheckoutMissingFirstName","testCheckoutMissingFirstName()","User should see error when first name is missing"
"passed","Fri Aug 08 13:30:40 UTC 2025","Fri Aug 08 13:30:51 UTC 2025","11072","","com.projects.tests.CartTest","","com.projects.tests.CartTest","testRemoveItemWithoutOpeningCart","testRemoveItemWithoutOpeningCart()","Verify user can remove item directly from product page after adding it"
"passed","Fri Aug 08 13:30:36 UTC 2025","Fri Aug 08 13:30:40 UTC 2025","4415","","com.projects.tests.CartTest","","com.projects.tests.CartTest","testAddItemToCartOnly","testAddItemToCartOnly()","Verify that an item can be added to the cart and cart badge updates"
"passed","Fri Aug 08 13:31:54 UTC 2025","Fri Aug 08 13:31:55 UTC 2025","880","","com.projects.tests.LoginTest","","com.projects.tests.LoginTest","testInvalidUsername","testInvalidUsername()","Test invalid username shows error message"
"failed","Fri Aug 08 13:31:41 UTC 2025","Fri Aug 08 13:31:51 UTC 2025","10960","","com.projects.tests.CheckoutTest","","com.projects.tests.CheckoutTest","testCheckoutWithEmptyCart","testCheckoutWithEmptyCart()","Verify that Checkout button is disabled when the cart is empty"
"passed","Fri Aug 08 13:31:56 UTC 2025","Fri Aug 08 13:31:56 UTC 2025","789","","com.projects.tests.LoginTest","","com.projects.tests.LoginTest","testOnlyPasswordEntered","testOnlyPasswordEntered()","Test login with only password shows error"
"passed","Fri Aug 08 13:30:51 UTC 2025","Fri Aug 08 13:31:05 UTC 2025","14132","","com.projects.tests.CartTest","","com.projects.tests.CartTest","testAddAndRemoveItemFromCart","testAddAndRemoveItemFromCart()","Test adding and removing item from cart updates the cart badge and contents"
"passed","Fri Aug 08 13:31:51 UTC 2025","Fri Aug 08 13:31:53 UTC 2025","1265","","com.projects.tests.CheckoutTest","","com.projects.tests.CheckoutTest","testCancelDuringCheckout","testCancelDuringCheckout()","Verify that clicking cancel during checkout returns the user to the cart"
"passed","Fri Aug 08 13:31:55 UTC 2025","Fri Aug 08 13:31:56 UTC 2025","801","","com.projects.tests.LoginTest","","com.projects.tests.LoginTest","testValidLogin","testValidLogin()","Test valid login redirects user to the products page"
"passed","Fri Aug 08 13:31:58 UTC 2025","Fri Aug 08 13:31:59 UTC 2025","830","","com.projects.tests.LoginTest","","com.projects.tests.LoginTest","testOnlyUsernameEntered","testOnlyUsernameEntered()","Test login with only username shows error"
